,D,Jk,Jk2,N,Nair,S,T,Uair:0,Uair:1,Uair:2,cp,dpstar,k,kn,kstar,lambda,muAir,nPartNode1,pAir,pSat,rho,sigma,theta,vpstar,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0,1.89777e-05,0,0,1e+14,1.8706e+25,1.001,388,0.09986,0,0,14581,0,0.432,28.813,0,1.44065e-07,9.19739e-06,1e+24,100000,0,0.0310491,0,0,0,0,0,0,0,0,1
0,1.89778e-05,0,0,1e+14,1.87059e+25,1.001,388,0.09986,0,0,14581,0,0.432,28.8131,0,1.44066e-07,9.19739e-06,1e+24,100000,0,0.031049,0,0,0,0,0.0008492,-3.708e-05,1,0,1
0,1.8978e-05,0,0,1e+14,1.87057e+25,1.001,388,0.09986,0,0,14581,0,0.432,28.8134,0,1.44067e-07,9.19741e-06,1e+24,100000,0,0.0310487,0,0,0,0,0.0016984,-7.416e-05,2,0,1
0,1.89785e-05,0,0,1e+14,1.87054e+25,1.001,388,0.09986,0,0,14581,0,0.432,28.8139,0,1.44069e-07,9.19743e-06,1e+24,100000,0,0.0310482,0,0,0,0,0.0025476,-0.00011124,3,0,1
0,1.89792e-05,0,0,1e+14,1.8705e+25,1.001,388,0.09986,0,0,14581.1,0,0.432,28.8146,0,1.44073e-07,9.19747e-06,1e+24,100000,0,0.0310475,0,0,0,0,0.0033968,-0.00014832,4,0,1
0,1.898e-05,0,0,1e+14,1.87044e+25,1.001,388,0.09986,0,0,14581.1,0,0.432,28.8154,0,1.44077e-07,9.19751e-06,1e+24,100000,0,0.0310466,0,0,0,0,0.004246,-0.0001854,5,0,1
0,1.89811e-05,0,0,1e+14,1.87037e+25,1.001,388,0.09986,0,0,14581.1,0,0.432,28.8165,0,1.44083e-07,9.19756e-06,1e+24,100000,0,0.0310454,0,0,0,0,0.0050952,-0.00022248,6,0,1
0,1.89824e-05,0,0,1e+14,1.87029e+25,1.001,388,0.09986,0,0,14581.1,0,0.432,28.8178,0,1.44089e-07,9.19763e-06,1e+24,100000,0,0.031044,0,0,0,0,0.0059444,-0.00025956,7,0,1
0,1.89838e-05,0,0,1e+14,1.87019e+25,1.001,388,0.09986,0,0,14581.1,0,0.432,28.8193,0,1.44096e-07,9.1977e-06,1e+24,100000,0,0.0310424,0,0,0,0,0.0067936,-0.00029664,8,0,1
0,1.89855e-05,0,0,1e+14,1.87008e+25,1.001,388,0.09986,0,0,14581.1,0,0.432,28.8209,0,1.44105e-07,9.19779e-06,1e+24,100000,0,0.0310406,0,0,0,0,0.0076428,-0.00033372,9,0,1
0,1.89874e-05,0,0,1e+14,1.86996e+25,1.001,388,0.09986,0,0,14581.1,0,0.432,28.8228,0,1.44114e-07,9.19788e-06,1e+24,100000,0,0.0310386,0,0,0,0,0.008492,-0.0003708,10,0,1
0,1.89894e-05,0,0,1e+14,1.86982e+25,1.001,388,0.09986,0,0,14581.2,0,0.432,28.825,0,1.44125e-07,9.19799e-06,1e+24,100000,0,0.0310363,0,0,0,0,0.0093412,-0.00040788,11,0,1
0,1.89918e-05,0,0,1e+14,1.86967e+25,1.001,388,0.09986,0,0,14581.2,0,0.432,28.8273,0,1.44136e-07,9.1981e-06,1e+24,100000,0,0.0310338,0,0,0,0,0.0101904,-0.00044496,12,0,1
0,1.89943e-05,0,0,1e+14,1.86951e+25,1.001,388,0.09986,0,0,14581.2,0,0.432,28.8298,0,1.44149e-07,9.19823e-06,1e+24,100000,0,0.031031,0,0,0,0,0.0110396,-0.00048204,13,0,1
0,1.8997e-05,0,0,1e+14,1.86933e+25,1.001,388,0.09986,0,0,14581.3,0,0.432,28.8326,0,1.44163e-07,9.19837e-06,1e+24,100000,0,0.0310281,0,0,0,0,0.0118888,-0.00051912,14,0,1
0,1.9e-05,0,0,1e+14,1.86913e+25,1.001,388,0.09986,0,0,14581.3,0,0.432,28.8356,0,1.44178e-07,9.19852e-06,1e+24,100000,0,0.0310248,0,0,0,0,0.012738,-0.0005562,15,0,1
0,1.90032e-05,0,0,1e+14,1.86892e+25,1.001,388,0.09986,0,0,14581.3,0,0.432,28.8388,0,1.44194e-07,9.19868e-06,1e+24,100000,0,0.0310213,0,0,0,0,0.0135872,-0.00059328,16,0,1
0,1.90066e-05,0,0,1e+14,1.8687e+25,1.001,388,0.09986,0,0,14581.4,0,0.432,28.8423,0,1.44212e-07,9.19885e-06,1e+24,100000,0,0.0310176,0,0,0,0,0.0144364,-0.00063036,17,0,1
0,1.90103e-05,0,0,1e+14,1.86846e+25,1.001,388,0.09986,0,0,14581.4,0,0.432,28.846,0,1.4423e-07,9.19904e-06,1e+24,100000,0,0.0310136,0,0,0,0,0.0152856,-0.00066744,18,0,1
0,1.90142e-05,0,0,1e+14,1.8682e+25,1.001,388,0.09986,0,0,14581.5,0,0.432,28.85,0,1.4425e-07,9.19924e-06,1e+24,100000,0,0.0310094,0,0,0,0,0.0161348,-0.00070452,19,0,1
0,1.90183e-05,0,0,1e+14,1.86793e+25,1.001,388,0.09986,0,0,14581.5,0,0.432,28.8542,0,1.44271e-07,9.19945e-06,1e+24,100000,0,0.0310049,0,0,0,0,0.016984,-0.0007416,20,0,1
0,1.90227e-05,0,0,1e+14,1.86765e+25,1.001,388,0.09986,0,0,14581.6,0,0.432,28.8586,0,1.44293e-07,9.19967e-06,1e+24,100000,0,0.0310001,0,0,0,0,0.0178332,-0.00077868,21,0,1
0,1.90273e-05,0,0,1e+14,1.86734e+25,1.001,388,0.09986,0,0,14581.6,0,0.432,28.8632,0,1.44316e-07,9.1999e-06,1e+24,100000,0,0.0309951,0,0,0,0,0.0186824,-0.00081576,22,0,1
0,1.90321e-05,0,0,1e+14,1.86703e+25,1.001,388,0.09986,0,0,14581.7,0,0.432,28.8681,0,1.44341e-07,9.20014e-06,1e+24,100000,0,0.0309899,0,0,0,0,0.0195316,-0.00085284,23,0,1
0,1.90372e-05,0,0,1e+14,1.8667e+25,1.001,388,0.09986,0,0,14581.7,0,0.432,28.8732,0,1.44366e-07,9.2004e-06,1e+24,100000,0,0.0309844,0,0,0,0,0.0203808,-0.00088992,24,0,1
0,1.90424e-05,0,0,1e+14,1.86636e+25,1.001,388,0.09986,0,0,14581.8,0,0.432,28.8785,0,1.44393e-07,9.20066e-06,1e+24,100000,0,0.0309787,0,0,0,0,0.02123,-0.000927,25,0,1
0,1.90479e-05,0,0,1e+14,1.866e+25,1.001,388,0.09986,0,0,14581.8,0,0.432,28.884,0,1.4442e-07,9.20094e-06,1e+24,100000,0,0.0309728,0,0,0,0,0.0220792,-0.00096408,26,0,1
0,1.90535e-05,0,0,1e+14,1.86563e+25,1.001,388,0.09986,0,0,14581.9,0,0.432,28.8897,0,1.44449e-07,9.20122e-06,1e+24,100000,0,0.0309667,0,0,0,0,0.0229284,-0.00100116,27,0,1
0,1.90593e-05,0,0,1e+14,1.86525e+25,1.001,388,0.09986,0,0,14582,0,0.432,28.8956,0,1.44478e-07,9.20151e-06,1e+24,100000,0,0.0309604,0,0,0,0,0.0237776,-0.00103824,28,0,1
0,1.90652e-05,0,0,1e+14,1.86487e+25,1.001,388,0.09986,0,0,14582,0,0.432,28.9016,0,1.44508e-07,9.20181e-06,1e+24,100000,0,0.030954,0,0,0,0,0.0246268,-0.00107532,29,0,1
0,1.90712e-05,0,0,1e+14,1.86448e+25,1.001,388,0.09986,0,0,14582.1,0,0.432,28.9076,0,1.44538e-07,9.20211e-06,1e+24,100000,0,0.0309475,0,0,0,0,0.025476,-0.0011124,30,0,1
0,1.90773e-05,0,0,1e+14,1.86408e+25,1.001,388,0.09986,0,0,14582.2,0,0.432,28.9138,0,1.44569e-07,9.20242e-06,1e+24,100000,0,0.030941,0,0,0,0,0.0263252,-0.00114948,31,0,1
0,1.90833e-05,0,0,1e+14,1.86369e+25,1.001,388,0.09986,0,0,14582.2,0,0.432,28.9199,0,1.446e-07,9.20272e-06,1e+24,100000,0,0.0309344,0,0,0,0,0.0271744,-0.00118656,32,0,1
0,1.90894e-05,0,0,1e+14,1.86329e+25,1.001,388,0.09986,0,0,14582.3,0,0.432,28.926,0,1.4463e-07,9.20303e-06,1e+24,100000,0,0.0309279,0,0,0,0,0.0280236,-0.00122364,33,0,1
